county,2013_pop,latitude,longitude,geocode_radius,area
Adams County,"469,193",39.87,-104.33,17.20390217,"1,183.90"
Alamosa County,"16,253",37.57,-105.79,13.44749977,723.341
Arapahoe County,"607,070",39.64,-104.33,14.1901198,805.438
Archuleta County,"12,194",37.2,-107.05,18.40865286,"1,355.51"
Baca County,"3,682",37.3,-102.54,25.28506476,"2,557.34"
Bent County,"5,688",37.93,-103.08,19.62831501,"1,541.08"
Boulder County,"310,048",40.09,-105.4,13.60487045,740.37
Broomfield County,"59,471",39.95,-105.05,2.898275349,33.6
Chaffee County,"18,510",38.74,-106.32,15.92916351,"1,014.95"
Cheyenne County,"1,890",38.84,-102.6,21.10348905,"1,781.43"
Clear Creek County,"9,031",39.69,-105.67,9.95606599,396.493
Conejos County,"8,277",37.21,-106.18,17.96493807,"1,290.96"
Costilla County,"3,518",37.28,-105.43,17.53824393,"1,230.36"
Crowley County,"5,322",38.32,-103.79,14.1450433,800.329
Custer County,"4,285",38.1,-105.37,13.60078123,739.925
Delta County,"30,483",38.86,-107.86,16.9454935,"1,148.60"
Denver County,"649,495",39.76,-104.88,6.21755579,154.632
Dolores County,"2,029",37.75,-108.53,16.34089961,"1,068.10"
Douglas County,"305,963",39.33,-104.93,14.51610313,842.869
Eagle County,"52,460",39.63,-106.69,20.56569352,"1,691.79"
Elbert County,"23,733",39.31,-104.12,21.51172936,"1,851.02"
El Paso County,"655,044",38.83,-104.53,23.07350754,"2,129.55"
Fremont County,"46,451",38.46,-105.42,19.58271559,"1,533.93"
Garfield County,"57,302",39.6,-107.91,27.18380952,"2,955.84"
Gilpin County,"5,601",39.86,-105.53,6.129029287,150.26
Grand County,"14,289",40.12,-106.1,21.61938945,"1,869.59"
Gunnison County,"15,507",38.67,-107.08,28.54658036,"3,259.63"
Hinsdale County,813,37.81,-107.38,16.75684935,"1,123.17"
Huerfano County,"6,519",37.69,-104.96,19.95768649,"1,593.24"
Jackson County,"1,365",40.66,-106.33,20.13058618,"1,620.96"
Jefferson County,"551,798",39.59,-105.25,13.91072428,774.033
Kiowa County,"1,423",38.39,-102.76,21.13011477,"1,785.93"
Kit Carson County,"8,037",39.31,-102.6,23.24699443,"2,161.69"
Lake County,"7,306",39.2,-106.35,9.796797946,383.909
La Plata County,"53,284",37.29,-107.84,20.61375754,"1,699.71"
Larimer County,"315,988",40.66,-105.48,25.66103077,"2,633.95"
Las Animas County,"14,446",37.32,-104.04,34.55194278,"4,775.35"
Lincoln County,"5,430",38.99,-103.51,25.4284388,"2,586.42"
Logan County,"22,450",40.73,-103.09,21.47594003,"1,844.86"
Mesa County,"147,554",39.02,-108.46,28.90122402,"3,341.12"
Mineral County,721,37.65,-106.93,14.81285759,877.683
Moffat County,"13,103",40.57,-108.2,34.46342989,"4,750.91"
Montezuma County,"25,642",37.34,-108.6,22.58401536,"2,040.15"
Montrose County,"40,713",38.41,-108.26,23.67802779,"2,242.60"
Morgan County,"28,404",40.26,-103.81,17.98431956,"1,293.74"
Otero County,"18,703",37.88,-103.72,17.81645307,"1,269.70"
Ouray County,"4,557",38.15,-107.77,11.64270158,542.21
Park County,"16,121",39.12,-105.72,23.50879091,"2,210.65"
Phillips County,"4,356",40.59,-102.35,13.11529641,688.044
Pitkin County,"17,379",39.22,-106.92,15.59803674,973.195
Prowers County,"12,291",37.96,-102.39,20.27512022,"1,644.32"
Pueblo County,"161,451",38.17,-104.49,24.4836425,"2,397.80"
Rio Blanco County,"6,807",39.97,-108.2,28.38491237,"3,222.81"
Rio Grande County,"11,803",37.49,-106.45,15.10246669,912.338
Routt County,"23,513",40.48,-106.99,24.33174881,"2,368.14"
Saguache County,"6,208",38.03,-106.25,28.15245993,"3,170.24"
San Juan County,692,37.78,-107.67,9.852334749,388.274
San Miguel County,"7,678",38.01,-108.43,17.94871165,"1,288.63"
Sedgwick County,"2,360",40.87,-102.36,11.7196843,549.404
Summit County,"28,649",39.62,-106.14,12.44264843,619.278
Teller County,"23,275",38.87,-105.18,11.82122033,558.965
Washington County,"4,803",39.97,-103.21,25.11923068,"2,523.90"
Weld County,"269,785",40.56,-104.38,31.68909907,"4,016.80"
Yuma County,"10,151",40,-102.42,24.33466663,"2,368.70"
